unidade;ano;mes;readmissoes;altas_validas;obitos;tx_readmissao
HAC;2019;5;4;238;21;0,018433179723502304
HAC;2019;6;9;346;30;0,028481012658227847
HAC;2019;7;17;320;25;0,0576271186440678
HAC;2019;8;13;325;29;0,04391891891891892
HAC;2019;9;16;286;31;0,06274509803921569
HAC;2019;10;24;318;28;0,08275862068965517
HAC;2019;11;25;310;21;0,08650519031141868
HAC;2019;12;25;313;23;0,08620689655172414
HAC;2020;1;20;275;16;0,07722007722007722
HAC;2020;2;7;269;24;0,02857142857142857
HAC;2020;3;9;297;20;0,032490974729241874
HAC;2020;4;7;243;26;0,03225806451612903
HAC;2020;5;9;238;19;0,0410958904109589
HAC;2020;6;17;242;24;0,0779816513761468
HAC;2020;7;15;252;24;0,06578947368421052
HAC;2020;8;14;279;22;0,054474708171206226
HAC;2020;9;14;254;13;0,058091286307053944
HAC;2020;10;13;277;24;0,05138339920948617
HAC;2020;11;11;267;28;0,04602510460251046
HAC;2020;12;18;274;23;0,07171314741035857
HAC;2021;1;11;241;26;0,05116279069767442
HAC;2021;2;13;222;16;0,06310679611650485
HAC;2021;3;7;276;23;0,02766798418972332
HAC;2021;4;16;254;31;0,07174887892376682
HAC;2021;5;8;251;19;0,034482758620689655
HAC;2021;6;5;266;27;0,02092050209205021
HAC;2021;7;17;254;18;0,07203389830508475
HAC;2021;8;8;262;21;0,03319502074688797
HAC;2021;9;13;268;24;0,05327868852459016
HAC;2021;10;14;270;22;0,056451612903225805
HAC;2021;11;9;227;26;0,04477611940298507
HAC;2021;12;7;242;26;0,032407407407407406
HAC;2022;1;19;203;24;0,10614525139664804
HAC;2022;2;1;181;20;0,006211180124223602
HAC;2022;3;9;198;20;0,05056179775280899
HAC;2022;5;9;251;20;0,03896103896103896
HAC;2022;6;9;258;24;0,038461538461538464
HAC;2022;7;18;244;20;0,08035714285714286
HAC;2022;8;6;252;24;0,02631578947368421
HAC;2022;9;10;199;15;0,05434782608695652
HAC;2022;10;9;239;24;0,04186046511627907
HAC;2022;11;11;193;22;0,06432748538011696
HAC;2022;12;23;248;19;0,10043668122270742
HAC;2023;1;9;203;20;0,04918032786885246
HAC;2023;2;12;224;25;0,06030150753768844
HAC;2023;3;17;298;35;0,06463878326996197
HAC;2023;4;25;257;22;0,10638297872340426
HAC;2023;5;11;264;31;0,04721030042918455
HAC;2023;6;22;276;25;0,08764940239043825
HAC;2023;7;14;275;30;0,05714285714285714
HAC;2023;8;29;276;23;0,11462450592885376
HAC;2023;9;30;287;30;0,11673151750972763
HAC;2023;10;24;277;29;0,0967741935483871
HAC;2023;11;22;235;25;0,10476190476190476
HAC;2023;12;20;264;22;0,08264462809917356
HAC;2024;1;19;263;34;0,08296943231441048
HAC;2024;2;27;282;24;0,10465116279069768
HAC;2024;3;15;307;27;0,05357142857142857
HAC;2024;4;18;327;32;0,061016949152542375
HAC;2024;5;30;311;31;0,10714285714285714
HAC;2024;6;17;280;21;0,06563706563706563
HAC;2024;7;36;290;25;0,13584905660377358
HAC;2024;8;33;325;28;0,1111111111111111
HAC;2024;9;17;293;28;0,06415094339622641
HAC;2024;10;26;323;24;0,08695652173913043
HAC;2024;11;38;328;32;0,12837837837837837
HAC;2024;12;30;295;25;0,1111111111111111
HAC;2025;1;30;318;41;0,10830324909747292
HAC;2025;2;28;273;31;0,11570247933884298
HAC;2025;3;33;322;22;0,11
HAC;2025;4;41;327;26;0,1362126245847176
HAC;2025;5;30;328;40;0,10416666666666667
HAC;2025;6;18;306;32;0,06569343065693431
HAC;2025;7;14;327;44;0,04946996466431095
HAC;2025;8;13;305;36;0,048327137546468404
HAC;2025;9;13;312;17;0,04406779661016949
HAC;2025;10;12;324;28;0,04054054054054054
HAC;2025;11;7;326;25;0,023255813953488372
HAC;2025;12;3;299;23;0,010869565217391304
HAC;2026;1;2;289;31;0,007751937984496124
HAC;2026;2;1;270;21;0,004016064257028112
HAC;2026;3;6;304;19;0,021052631578947368
HEM;2020;1;2;115;14;0,019801980198019802
HEM;2020;2;3;104;11;0,03225806451612903
HEM;2020;5;1;206;30;0,005681818181818182
HEM;2020;6;1;180;31;0,006711409395973154
HEM;2020;7;3;257;49;0,014423076923076924
HEM;2020;8;1;173;33;0,007142857142857143
HEM;2020;10;2;153;25;0,015625
HEM;2020;12;2;233;48;0,010810810810810811
HEM;2021;1;3;206;44;0,018518518518518517
HEM;2021;2;2;148;23;0,016
HEM;2021;4;1;265;55;0,004761904761904762
HEM;2021;5;1;241;34;0,004830917874396135
HEM;2021;8;4;167;20;0,027210884353741496
HEM;2021;9;3;134;13;0,024793388429752067
HEM;2021;10;1;149;18;0,007633587786259542
HEM;2021;11;4;169;17;0,02631578947368421
HEM;2021;12;4;164;18;0,0273972602739726
HEM;2022;1;2;205;33;0,011627906976744186
HEM;2022;2;2;138;24;0,017543859649122806
HEM;2022;3;3;119;18;0,0297029702970297
HEM;2022;4;7;121;15;0,0660377358490566
HEM;2022;5;4;145;23;0,03278688524590164
HEM;2022;6;3;174;13;0,018633540372670808
HEM;2022;7;2;162;21;0,014184397163120567
HEM;2022;8;4;149;13;0,029411764705882353
HEM;2022;9;7;185;15;0,041176470588235294
HEM;2022;10;1;161;10;0,006622516556291391
HEM;2022;11;7;176;20;0,04487179487179487
HEM;2022;12;4;198;15;0,02185792349726776
HEM;2023;1;4;160;14;0,0273972602739726
HEM;2023;2;2;152;12;0,014285714285714285
HEM;2023;3;10;162;16;0,0684931506849315
HEM;2023;4;5;149;3;0,03424657534246575
HEM;2023;5;3;145;11;0,022388059701492536
HEM;2023;6;10;162;10;0,06578947368421052
HEM;2023;7;3;131;9;0,02459016393442623
HEM;2023;8;5;179;17;0,030864197530864196
HEM;2023;9;3;133;13;0,025
HEM;2023;10;5;123;11;0,044642857142857144
HEM;2023;11;4;131;14;0,03418803418803419
HEM;2023;12;3;134;19;0,02608695652173913
HEM;2024;1;3;248;16;0,01293103448275862
HEM;2024;2;2;376;10;0,00546448087431694
HEM;2024;3;3;418;12;0,007389162561576354
HEM;2024;4;2;374;11;0,005509641873278237
HEM;2024;5;2;256;14;0,008264462809917356
HEM;2024;6;4;164;18;0,0273972602739726
HEM;2024;7;4;158;6;0,02631578947368421
HEM;2024;8;5;136;8;0,0390625
HEM;2024;9;5;156;14;0,035211267605633804
HEM;2024;10;2;144;4;0,014285714285714285
HEM;2024;11;12;148;12;0,08823529411764706
HEM;2024;12;7;143;12;0,05343511450381679
HEM;2025;1;5;142;10;0,03787878787878788
HEM;2025;2;6;132;15;0,05128205128205128
HEM;2025;3;5;158;10;0,033783783783783786
HEM;2025;4;5;171;13;0,03164556962025317
HEM;2025;5;2;178;17;0,012422360248447204
HEM;2025;6;6;155;22;0,045112781954887216
HEM;2025;7;7;184;16;0,041666666666666664
HEM;2025;8;6;165;15;0,04
HEM;2025;9;4;184;10;0,022988505747126436
HEM;2025;10;6;193;13;0,03333333333333333
HEM;2025;11;3;154;12;0,02112676056338028
HEM;2025;12;2;171;11;0,0125
HEM;2026;1;2;153;15;0,014492753623188406
HEM;2026;2;1;142;9;0,007518796992481203
HEM;2026;3;1;177;14;0,006134969325153374
HIJPII;2019;5;2;213;0;0,009389671361502348
HIJPII;2020;1;6;288;5;0,02120141342756184
HIJPII;2020;2;3;319;2;0,00946372239747634
HIJPII;2020;5;4;58;4;0,07407407407407407
HIJPII;2020;6;3;260;2;0,011627906976744186
HIJPII;2020;7;2;368;3;0,005479452054794521
HIJPII;2020;8;6;309;3;0,0196078431372549
HIJPII;2020;9;5;282;2;0,017857142857142856
HIJPII;2020;10;3;292;1;0,010309278350515464
HIJPII;2020;11;4;344;8;0,011904761904761904
HIJPII;2020;12;2;168;2;0,012048192771084338
HIJPII;2021;1;6;320;3;0,01892744479495268
HIJPII;2021;2;8;327;5;0,024844720496894408
HIJPII;2021;3;1;308;0;0,003246753246753247
